time,direction,event,FrontL,FrontR,FrontC,BackL,BackR,BackC,FrontLL,FrontRR,run_id
0.0,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.233,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.41,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.579,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.84,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.052,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.261,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.473,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.797,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.06,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.512,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.758,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.013,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.265,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.498,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.699,forward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.926,forward,,16.0,17.0,27.0,3.0,4.0,7.0,5.0,7.0,0
4.15,forward,,16.0,17.0,27.0,3.0,4.0,7.0,5.0,7.0,0
4.703,,obstacle,50.0,47.0,83.0,3.0,4.0,7.0,18.0,11.0,0
4.955,backward,,50.0,47.0,83.0,3.0,4.0,7.0,18.0,11.0,0
5.215,backward,,51.0,47.0,125.0,3.0,4.0,7.0,32.0,12.0,0
5.485,backward,,45.0,54.0,77.0,3.0,4.0,7.0,21.0,14.0,0
5.742,right,,45.0,54.0,122.0,3.0,4.0,7.0,21.0,14.0,0
6.01,right,,29.0,37.0,52.0,3.0,4.0,7.0,13.0,10.0,0
6.251,right,,29.0,37.0,52.0,3.0,4.0,7.0,13.0,10.0,0
6.542,right,,38.0,16.0,28.0,3.0,3.0,8.0,24.0,6.0,0
6.857,right,,45.0,15.0,6.0,3.0,4.0,7.0,46.0,5.0,0
7.109,forward,,45.0,15.0,6.0,3.0,4.0,7.0,46.0,5.0,0
7.356,forward,,23.0,15.0,3.0,2.0,4.0,9.0,44.0,5.0,0
